title_id	xbe_md5	title_name
534E0007	9A093DD7994CB628CD77EEE3AAEEB4DF	KOF: Maximum Impact: Maniax
4D530031	E3DF1C06630BBD9CAF1F8C9BC1224B98	Kung Fu Chaos
4D530031	F7B9085728197BB9BA7F5E288F174B93	Kung Fu Chaos
4D530031	973C8736EFFDDB47D38AF7C5B4ABC0E2	Kung Fu Panic
4B4F0002	40C2E14B0BDA92BEF0ACF6F6ECCD8A0D	Kurenai no Umi: Crimson Sea
4D570025	E4123D5822F0AC70961A6B9A92943F44	L.A. Rush
4553001A	A997EA4883A016BC26B63D9035FF56AA	L'Entraîneur 5: Saison 04/05
4343000B	1356228F83C94A0170F32C5E5C529EA2	Lakemasters: Bass Fishing Game
47560004	6DE6521BCE0F895AC7C147C338598CE8	Land of the Dead: Road to Fiddler's Green
534300FD	D07F3FB1489C32A990C8E3779E4C3D4A	Lara Croft Tomb Raider: Legend
5553000B	C397AAFFFEEC8A3E4C151B900DB65F5D	Largo Winch: Empire Under Threat
42560003	050A944FF7E0CBA3DC0A3A016088CECF	Le Monde de Narnia: Chapitre 1: Le Lion, la Sorcière Blanche et l'Armoire Magique
4541007D	5E3572736A9DA8A08770E79FC9D659B4	Le Parrain
4541003E	7599B668EEF8E8AA1615233220661A32	Le Seigneur des Anneaux: Le Retour du Roi
4541005F	C513FE61A682FB6BDD4994C4E7664EE8	Le Seigneur des Anneaux: Le Tiers Age
4B4E000F	F6E34B0F5C3FDD06EFF3F8F46607F834	Le Tour de France
4553000F	4F9A41B1F211630F480FDF3B2A9665FB	Legacy of Kain: Defiance
4553000F	77180186411390B539E63B922CAA02CA	Legacy of Kain: Defiance
41430003	4990503491E97E142E2D6E296FBA078A	Legends of Wrestling
41430003	6DF1CFF628B4AC1E1E50361AFEA72E2A	Legends of Wrestling
4143000F	547A4AF2C36642B85A71D496567DF8AA	Legends of Wrestling II
4143000F	800EF6E83A68CF7C76FCBDCD9B9D215D	Legends of Wrestling II
4C41001F	B7DB217A1D42831994DA1E8FD8F17237	LEGO Star Wars II: The Original Trilogy
4553001D	008A2751A9AA2863368D28D69ECFDDE2	LEGO Star Wars: The Video Game
4553001D	18FE4C1E29D6EB1E70FFA7B72E50AF97	LEGO Star Wars: The Video Game
56550031	204F14BC67061F8613044475CC46F92B	Leisure Suit Larry: Magna Cum Laude
56550031	3BA02DCD83A4AC0EA8BC891123F56C1E	Leisure Suit Larry: Magna Cum Laude
56550031	5E588C5E080E3D399C234084854D3B32	Leisure Suit Larry: Magna Cum Laude
56550031	75DB3A54ADFD9008026D74A453046569	Leisure Suit Larry: Magna Cum Laude
56550031	BA8380C92E590C4E695B4606E37C6792	Leisure Suit Larry: Magna Cum Laude
56550031	BF127BF2900FF341364ECCA5FDCB50AC	Leisure Suit Larry: Magna Cum Laude
4156001F	40E684F2006F3D9BEB9C6C9522631637	Lemony Snicket: Rätselhafte Ereignisse
4156001F	590EE668025EF89F5393D42B22AD5927	Lemony Snicket's A Series of Unfortunate Events
4156001F	9E5D6E69C97673BE9F7B9D3119B5088B	Lemony Snicket's A Series of Unfortunate Events
4156001F	87CE4D4FD7FFAD0B91EE61C333541D23	Les Désastreuses Aventures des Orphelins Baudelaire: D'Apres Lemony Snicket
4D53005D	14C4213A3BE4660102482D441987A35F	Links 2004
4D53005D	90C9F1A02CEE9A2E94975B1BBF0E5E3D	Links 2004
4D53005D	C1A2D7C5C506849A1C69ADE75DC3FB86	Links 2004
434D0004	5736CC4EBD2BDEB7B6F420CFB687DF63	LMA Manager 2003
434D000F	4A2A0048081C27C92667444CCBB136D5	LMA Manager 2004
434D0046	70D34B6A8FB61B63DF8181FC31563C73	LMA Manager 2005
434D0054	8D19448DA80457D5BFD5E01EE28A072E	LMA Manager 2006
49470006	1CD1CD2C5D50C0B92993254F4AC7644E	Loons: The Fight for Fame
49470006	82900794F5B564543F72183F89CC994C	Loons: The Fight for Fame
49470006	D0B76D07DF29C7B73943BD702016479D	Loons: The Fight for Fame
58490005	220214CC93553F627227B5E45EFDE08F	Lotus Challenge
56560011	47BA767E800F373C48C164325F17735A	Mace Griffin: Bounty Hunter
56550018	6238DC6E4374C20BF266BFA4A34ABD7D	Mace Griffin: Bounty Hunter
56560011	E5FCB024ECFF2E8C8F1EC0DEB110A58D	Mace Griffin: Bounty Hunter
45530001	349ED2BB9F698586A97CA780D4366EB4	Mad Dash Racing
45530001	95DF88D4E7A06B24E906B64313999CF3	Mad Dash Racing
45530001	ECFB00EC152E63AA8E7D2E7CF48A0477	Mad Dash Racing
45530001	FF614676DC907DBD60E2CAA24FF3CBA9	Mad Dash Racing
45410075	57159FF2022673183097C724E02986E4	Madden NFL 06
45410075	8C25DC397C28CAD3ECF5FDC15F3ECEEB	Madden NFL 06
